team,player_id,player_name,position,shoots,height,weight,birthdate
ANA,8484153,{'default': 'Leo'} {'default': 'Carlsson'},C,L,75,208,2004-12-26
ANA,8482118,{'default': 'Sam'} {'default': 'Colangelo'},R,R,74,213,2001-12-26
ANA,8483445,{'default': 'Cutter'} {'default': 'Gauthier'},L,L,74,205,2004-01-19
ANA,8475798,{'default': 'Mikael'} {'default': 'Granlund'},C,L,70,193,1992-02-26
ANA,8478424,{'default': 'Jansen'} {'default': 'Harkins'},C,L,73,197,1997-05-23
ANA,8477527,{'default': 'Ross'} {'default': 'Johnston'},L,L,77,232,1994-02-18
ANA,8473986,{'default': 'Alex'} {'default': 'Killorn'},L,L,73,205,1989-09-14
ANA,8475184,{'default': 'Chris'} {'default': 'Kreider'},L,L,75,232,1991-04-30
ANA,8482745,{'default': 'Mason'} {'default': 'McTavish'},C,L,73,219,2003-01-30
ANA,8481754,{'default': 'Nikita'} {'default': 'Nesterenko'},C,L,74,203,2001-09-10
ANA,8480068,{'default': 'Ryan'} {'default': 'Poehling'},C,L,74,206,1999-01-03
ANA,8484762,{'default': 'Beckett'} {'default': 'Sennecke'},R,R,75,206,2006-01-28
ANA,8476458,{'default': 'Ryan'} {'default': 'Strome'},C,R,73,192,1993-07-11
ANA,8478873,{'default': 'Troy'} {'default': 'Terry'},R,R,72,193,1997-09-10
ANA,8478366,{'default': 'Frank'} {'default': 'Vatrano'},R,L,71,203,1994-03-14
ANA,8475462,{'default': 'Radko'} {'default': 'Gudas'},D,R,72,208,1990-06-05
ANA,8481563,{'default': 'Drew'} {'default': 'Helleson'},D,R,75,208,2001-03-26
ANA,8481605,{'default': 'Jackson'} {'default': 'LaCombe'},D,L,74,208,2001-01-09
ANA,8483490,"{'default': 'Pavel'} {'default': 'Mintyukov', 'cs': 'Mintjukov', 'fi': 'Mintjukov', 'sk': 'Mintjukov'}",D,L,73,207,2003-11-25
ANA,8482178,{'default': 'Ian'} {'default': 'Moore'},D,R,75,205,2002-01-04
ANA,8476885,{'default': 'Jacob'} {'default': 'Trouba'},D,R,75,212,1994-02-26
ANA,8482803,{'default': 'Olen'} {'default': 'Zellweger'},D,L,70,193,2003-09-10
ANA,8483746,{'default': 'Vyacheslav'} {'default': 'Buteyets'},G,L,76,220,2002-05-29
